Sigla;Nome;Tipo;Impacto;ISSN
Capricho;Capricho;P;23;1523-0122
Galileu;Galileu;C;234;
NEMO;Nucleo educacional monetario otimizado;P;12;2342-4534
LCAD;Lugar de carros atropeladores demais;C;31;
Vogue;Vogue;C;43;
OXFORS;OXFORS;P;456;2345-3453
Elle;Elle;P;435;1548-0992
Magasin;Magasin;C;0;
Peixonaltas;Peixonaltas;C;23;
Diga dinheiro;Nao diga alou, diga dinheiro;P;243;1548-0234
MASC;Magias amigas sem ciumes;C;32;
SAPAO;SAPAO;C;13;
EUEW;EUEW;P;0;1348-0992
TEP ;TEP ;C;43;
LNDO;Lugar nacinal dos Onitorrincos;C;54;
KiRa;Kiridus ilegais rindo atoa;P;534;3124-1241
tkiki;tkiki;P;12;3453-4231
qeqw;que eu quero w;C;11;
qwrer;qwrer;P;3;1548-0991
